cp_model,art_ms_ozon,art_ms_wb,art_print_ozon,art_print_wb,sku,nm,msk_limits_all,tier
Asus ROG Phone 6,44650,,V104812,W1118,3004988970,,25,Tier 0
Asus ROG Phone 6,44650,,V102752,W500491,2776157747,,25,Tier 0
Asus ROG Phone 6,44650,,V100377,W100377,3084829944,,25,Tier 0
Asus ROG Phone 6,44650,,C311,C311,2776140578,,25,Tier 0
Asus ROG Phone 6,44650,,V102459,W177,2776147388,,25,Tier 0
Asus ROG Phone 6,44650,,R242,Q00086,3084830443,,25,Tier 0
Asus ROG Phone 6,44650,,V103631,W301,1865350469,,25,Tier 0
Asus ROG Phone 6,44650,,V104161,W431,2452948128,,25,Tier 0
Asus ROG Phone 6,44650,,V104272,W500493,2776140299,,25,Tier 0
Asus ROG Phone 6,44650,,R102970,Q00454,2453523695,,25,Tier 0
Asus ROG Phone 6,44650,,C103042,C103042,2776146424,,25,Tier 0
Asus ROG Phone 6,44650,,R103658,Q00534,2631388159,,25,Tier 0
Asus ROG Phone 6,44650,,V103665,W437,3085331452,,25,Tier 0
Asus ROG Phone 6,44650,,C380,C380,2776145054,,25,Tier 0
Asus ROG Phone 6,44650,,R103520,Q00492,2776151512,,25,Tier 0
Asus ROG Phone 6,44650,,C320,C320,2776146781,,25,Tier 0
Asus ROG Phone 6,44650,,V103717,W369,2776144749,,25,Tier 0
Asus ROG Phone 6,44650,,C806,C806,3006611181,,25,Tier 0
Asus ROG Phone 6,44650,,C306,C306,2776152426,,25,Tier 0
Asus ROG Phone 6,44650,,V102158,W160,3084831129,,25,Tier 0
Asus ROG Phone 6,44650,,R103825,Q00662,3005054438,,25,Tier 0
Asus ROG Phone 6,44650,,R100453,Q500489,3084838163,,25,Tier 0
Asus ROG Phone 6,44650,,R103659,Q00452,2631391624,,25,Tier 0
Asus ROG Phone 6,44650,,R100687,Q500490,2453254215,,25,Tier 0
Asus ROG Phone 6,44650,,R103526,Q00476,2776147724,,25,Tier 0
Asus ROG Phone 8,,ASSRP8-10,V104469,W407,,873883753,85,Tier 0
Asus ROG Phone 8,,ASSRP8-10,C026,C026,,684654532,85,Tier 0
Asus ROG Phone 8,45150,,V104812,W1118,2957446766,,85,Tier 0
Asus ROG Phone 8,45150,,V102752,W500491,2777411032,,85,Tier 0
Asus ROG Phone 8,45150,,V100377,W100377,3085161803,,85,Tier 0
Asus ROG Phone 8,45150,,C311,C311,2777411204,,85,Tier 0
Asus ROG Phone 8,,ASSRP8-10,C512,C512,,460820261,85,Tier 0
Asus ROG Phone 8,45150,,V102459,W177,2777411223,,85,Tier 0
Asus ROG Phone 8,45150,,R242,Q00086,3085162074,,85,Tier 0
Asus ROG Phone 8,,ASSRP8-10,R103404,Q00383,,291873989,85,Tier 0
Asus ROG Phone 8,45150,,V103631,W301,1865314550,,85,Tier 0
Asus ROG Phone 8,,ASSRP8-10,R102210,Q00011,,221225435,85,Tier 0
Asus ROG Phone 8,45150,,V104161,W431,2452990863,,85,Tier 0
Asus ROG Phone 8,45150,,V104272,W500493,2777411720,,85,Tier 0
Asus ROG Phone 8,,ASSRP8-10,V104491,W412,,873883771,85,Tier 0
Asus ROG Phone 8,45150,,R102970,Q00454,2453523342,,85,Tier 0
Asus ROG Phone 8,45150,,C103042,C103042,2777412265,,85,Tier 0
Asus ROG Phone 8,45150,,R103658,Q00534,2639566320,,85,Tier 0
Asus ROG Phone 8,45150,,V103665,W437,3085333510,,85,Tier 0
Asus ROG Phone 8,45150,,C380,C380,2777411209,,85,Tier 0
Asus ROG Phone 8,45150,ASSRP8-10,V104715,W969,3255053536,873886136,85,Tier 0
Asus ROG Phone 8,45150,,C500056,C500056,3154500148,,85,Tier 0
Asus ROG Phone 8,45150,,R103520,Q00492,2777410966,,85,Tier 0
Asus ROG Phone 8,,ASSRP8-10,R500482,Q00260,,253314600,85,Tier 0
Asus ROG Phone 8,45150,,C320,C320,2777409436,,85,Tier 0
Asus ROG Phone 8,45150,,V103717,W369,2777409157,,85,Tier 0
Asus ROG Phone 8,45150,,C806,C806,2973470475,,85,Tier 0
Asus ROG Phone 8,45150,,C306,C306,2777411122,,85,Tier 0
Asus ROG Phone 8,45150,,V102158,W160,3085162352,,85,Tier 0
Asus ROG Phone 8,,ASSRP8-10,V104570,W007,,221221113,85,Tier 0
Asus ROG Phone 8,,ASSRP8-10,C515,C515,,460774656,85,Tier 0
Asus ROG Phone 8,45150,ASSRP8-10,R103825,Q00662,2957446510,873881726,85,Tier 0
Asus ROG Phone 8,45150,,R100453,Q500489,3085159764,,85,Tier 0
Asus ROG Phone 8,,ASSRP8-10,C140,C140,,413359652,85,Tier 0
Asus ROG Phone 8,45150,,C500571,C500571,3218951952,,85,Tier 0
Asus ROG Phone 8,,ASSRP8-10,V104376,W416,,873883810,85,Tier 0
Asus ROG Phone 8,45150,,R103659,Q00452,2639565925,,85,Tier 0
Asus ROG Phone 8,45150,ASSRP8-10,R100687,Q500490,2453303425,587430800,85,Tier 0
Asus ROG Phone 8,45150,,R103526,Q00476,2777410945,,85,Tier 0
Asus ROG Phone 9,,ASU0004-10,V104469,W407,,443688988,35,Tier 0
Asus ROG Phone 9,,ASU0004-10,V104812,W1118,,873895900,35,Tier 0
Asus ROG Phone 9,45350,ASU0004-10,V102752,W500491,2780752134,587496803,35,Tier 0
Asus ROG Phone 9,45350,,V100377,W100377,3085421884,,35,Tier 0
Asus ROG Phone 9,45350,,C311,C311,2780751323,,35,Tier 0
Asus ROG Phone 9,,ASU0004-10,R103534,Q00466,,873892103,35,Tier 0
Asus ROG Phone 9,45350,,V102459,W177,2780762007,,35,Tier 0
Asus ROG Phone 9,45350,ASU0004-10,R242,Q00086,3085417650,377544127,35,Tier 0
Asus ROG Phone 9,45350,ASU0004-10,V103631,W301,2157224119,873895989,35,Tier 0
Asus ROG Phone 9,45350,,V104161,W431,2452996642,,35,Tier 0
Asus ROG Phone 9,,ASU0004-10,R103147,Q00295,,377544007,35,Tier 0
Asus ROG Phone 9,,ASU0004-10,R102211,Q00049,,377543877,35,Tier 0
Asus ROG Phone 9,45350,,R102970,Q00454,2453612555,,35,Tier 0
Asus ROG Phone 9,45350,,C103042,C103042,2780763666,,35,Tier 0
Asus ROG Phone 9,45350,,R103658,Q00534,2640301595,,35,Tier 0
Asus ROG Phone 9,45350,,V103665,W437,3085419142,,35,Tier 0
Asus ROG Phone 9,,ASU0004-10,V104754,W330,,873896080,35,Tier 0
Asus ROG Phone 9,45350,,C380,C380,2780762333,,35,Tier 0
Asus ROG Phone 9,45350,,R103520,Q00492,2780762440,,35,Tier 0
