cp_category,cp_model,group_key,art_print,pp,product_id,rank,image_url
Матовые цветные чехлы для печати,Asus ROG Phone 8,H:06243a21d7e4eea04b2603d4d6b2ea33,Q00049,ПП2,1770545158,18,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q102211.webp
Силиконовые чехлы,Asus ROG Phone 8,H:0a5b4dc09b79c80fee56d7ffff0f5efa,W700,ПП2,2666411523,60,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W700.webp
Матовые цветные чехлы для печати,Asus ROG Phone 8,H:0ec77f7711f7841829301ae7a1f0471a,W298,ПП2,2964639208,36,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W298.webp
Матовые цветные чехлы для печати,Asus ROG Phone 8,H:0f3159b4388536ec1239dc43d2f34e74,Q00119,ПП2,1770545095,19,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/T00119.webp
Матовые цветные чехлы для печати,Asus ROG Phone 8,H:101ef5c20af77d1e8a7ed163e1f7d96e,Q00023,ПП2,1770545151,11,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/T00023.webp
Матовые цветные чехлы для печати,Asus ROG Phone 8,H:10b49f75097bf0596ced3ebeb2626f84,Q00180,ПП2,1770545150,14,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/T00180.webp
Матовые цветные чехлы для печати,Asus ROG Phone 8,H:15e3df5a6f73a22a165e2047719a56b7,Q00003,ПП2,1770543948,5,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/T00003.webp
Матовые цветные чехлы для печати,Asus ROG Phone 8,H:15f21ae4e4e2a06fa8d661620dca1c1e,W231,ПП2,2964635111,48,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W231.webp
Матовые цветные чехлы для печати,Asus ROG Phone 8,H:2330bbf1583d090908ca640f5cce93bd,W400,ПП2,2679574485,34,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W400.webp
Матовые цветные чехлы для печати,Asus ROG Phone 8,H:28eaf954e3ac4cccd4b9aaa41a43eb80,Q00429,ПП2,2964638319,45,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q00429.webp
Силиконовые чехлы,Asus ROG Phone 8,H:2a58126360575b82652a97b31704dae9,C440,ПП2,2747496133,30,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/C440.webp
Матовые цветные чехлы для печати,Asus ROG Phone 8,H:2b0d126fa5fbb23662ff737bd403e0ca,Q00087,ПП2,1770545227,12,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q00087.webp
